datetime,prec
2006-08-31,25.446113294326548
2006-09-30,96.5220883988675
2006-10-31,111.87220009032566
2006-11-30,206.14746509604595
2006-12-31,258.09319647661755
2007-01-31,228.34226242628245
2007-02-28,165.23876996107532
2007-03-31,109.00214761361457
2007-04-30,52.750047722687924
2007-05-31,70.78086994245615
2007-06-30,12.989270394778416
2007-07-31,164.68209431441494
2007-08-31,5.304670063912113
2007-09-30,20.961237115996816
2007-10-31,91.7653233736518
2007-11-30,200.04879705232852
2007-12-31,139.94124108402252
2008-01-31,211.8689969973088
2008-02-29,142.82058008681312
2008-03-31,153.79725391289656
2008-04-30,128.96405133982356
2008-05-31,59.11234992344273
2008-06-30,42.356361367156836
2008-07-31,2.3324658003254783
2008-08-31,108.96035824625638
2008-09-30,87.6039278537614
2008-10-31,157.59234757075842
2008-11-30,163.6853405152051
2008-12-31,190.99701371529932
2009-01-31,227.92075732589188
2009-02-28,242.78074680759332
2009-03-31,121.93105558887558
2009-04-30,85.49124317065316
2009-05-31,67.39799485890524
2009-06-30,48.501462041272276
2009-07-31,160.3375478635104
2009-08-31,77.5724160153346
2009-09-30,121.25984612056692
2009-10-31,141.44204688210854
2009-11-30,199.6143939990496
2009-12-31,255.69314540315722
2010-01-31,316.21601545446737
2010-02-28,247.26149564099867
2010-03-31,131.10459560117064
2010-04-30,84.97274546454233
2010-05-31,39.466188083940125
2010-06-30,15.241768887196232
2010-07-31,63.67255014664027
2010-08-31,14.499362718944038
2010-09-30,90.8640144258154
2010-10-31,134.2991605725519
2010-11-30,173.47282308498455
2010-12-31,253.13883481315258
2011-01-31,337.5399430056838
2011-02-28,174.46235403057716
2011-03-31,193.565770012539
2011-04-30,100.10875113805407
2011-05-31,29.605961059870484
2011-06-30,46.309841886487334
2011-07-31,36.73079023538328
2011-08-31,51.697574767000226
2011-09-30,13.479392604534981
2011-10-31,119.18121203308387
2011-11-30,193.82424498842096
2011-12-31,176.67770641867648
2012-01-31,241.0664048415427
2012-02-29,147.34504100373493
2012-03-31,96.65670856650831
2012-04-30,145.98610317003232
2012-05-31,38.88795406857323
2012-06-30,180.62950975300106
2012-07-31,81.84004406965894
2012-08-31,6.116439248641768
2012-09-30,83.93866927104243
2012-10-31,109.0373294978116
2012-11-30,119.84105593532415
2012-12-31,210.50078695726603
2013-01-31,215.94677786671122
2013-02-28,162.27580361794605
2013-03-31,181.60129414574192
2013-04-30,87.32406768489129
2013-05-31,72.96525845386398
2013-06-30,88.92582971708109
2013-07-31,90.95082750085096
2013-08-31,12.534702149620166
2013-09-30,118.1685920782738
2013-10-31,140.7297881907307
2013-11-30,140.57326897845283
2013-12-31,119.48900960739688
2014-01-31,119.91322055656138
2014-02-28,92.87294193947878
2014-03-31,112.20135806002754
2014-04-30,61.922121009408976
2014-05-31,44.67087574338941
2014-06-30,12.991582217858113
2014-07-31,59.86835489690275
2014-08-31,39.108836321414174
2014-09-30,83.82847194401802
2014-10-31,39.94994423786081
2014-11-30,158.84457091763562
2014-12-31,203.93965761018973
2015-01-31,130.07916777395099
2015-02-28,219.559884916491
2015-03-31,227.85052717929855
2015-04-30,63.579956902695166
2015-05-31,83.71583662303298
2015-06-30,40.2610322672481
2015-07-31,89.21985178874333
2015-08-31,38.66609661814836
2015-09-30,248.24483425947213
2015-10-31,62.61109810270707
2015-11-30,256.7792759183511
2015-12-31,282.43818715729276
2016-01-31,238.52455233810116
2016-02-29,211.4911001041086
2016-03-31,154.4878757098379
2016-04-30,38.34866980446323
2016-05-31,86.78429582198892
2016-06-30,132.35040294775322
2016-07-31,6.88440734626705
2016-08-31,83.86845504497377
2016-09-30,31.451584889600202
2016-10-31,172.03411824510394
2016-11-30,205.00359817464576
2016-12-31,127.02387374238289
2017-01-31,297.0642005264145
2017-02-28,81.89221714041818
2017-03-31,149.04383519556112
2017-04-30,75.1614034136759
2017-05-31,115.24494972058423
2017-06-30,40.245429105899504
2017-07-31,12.195333390288669
2017-08-31,50.74440629832276
2017-09-30,31.814358390954787
2017-10-31,83.58320975157004
2017-11-30,151.45598642029262
2017-12-31,180.56319631726953
2018-01-31,244.2297837474211
2018-02-28,94.23523626787002
2018-03-31,192.67734734642085
2018-04-30,35.99904287253123
2018-05-31,25.54103844391372
2018-06-30,53.87839003757344
2018-07-31,22.57932414667758
2018-08-31,96.03965941126452
2018-09-30,100.5354693514669
2018-10-31,165.1835416049582
2018-11-30,150.15633047694
2018-12-31,75.38777551142731
2019-01-31,199.44845682177726
2019-02-28,176.3098700451506
2019-03-31,173.98753455867927
2019-04-30,121.4390731226399
2019-05-31,54.49192491904288
2019-06-30,35.52351457349822
2019-07-31,80.55035882744689
2019-08-31,52.40580294632998
2019-09-30,65.26470840647646
2019-10-31,47.46289302931985
2019-11-30,140.605964845172
2019-12-31,131.2514961974619
2020-01-31,193.01073403432963
2020-02-29,304.29262606534843
2020-03-31,96.05103074015449
2020-04-30,10.559829510041041
2020-05-31,37.82465803794765
2020-06-30,79.64788881645677
2020-07-31,10.935083363408072
2020-08-31,76.89034156065323
2020-09-30,55.047052520304916
2020-10-31,121.49024410264448
2020-11-30,124.88200138335365
2020-12-31,208.5450030551208
2021-01-31,191.7981368717963
2021-02-28,197.4367653654347
2021-03-31,95.77553445386712
2021-04-30,42.72983581818711
2021-05-31,48.40929772011191
2021-06-30,26.07135587305236
2021-07-31,26.327727651661114
2021-08-31,39.211960162516995
2021-09-30,29.172110509896875
2021-10-31,227.03323319435938
2021-11-30,83.45521648023372
2021-12-31,153.3403025661153
2022-01-31,322.5384401477975
2022-02-28,172.83386155493906
2022-03-31,208.37443312177197
2022-04-30,56.74965058227631
2022-05-31,36.80433970937113
2022-06-30,44.25152637509147
2022-07-31,9.829996946742941
2022-08-31,51.53693004342352
2022-09-30,121.99678511683142
2022-10-31,123.96660940771574
2022-11-30,123.46730469373146
2022-12-31,238.40146081275552
2023-01-31,215.65880303293227
2023-02-28,290.3027902592416
2023-03-31,129.17312740353748
2023-04-30,101.82094639461283
2023-05-31,43.88040755041164
2023-06-30,35.907038484239834
2023-07-31,22.118785326636143
2023-08-31,55.65748613025872
2023-09-30,65.64099601701518
2023-10-31,232.22321107543218
2023-11-30,116.38400055248822
